states,Initial_budget (Bn),Revised_budget (Bn)
Abia,136.6,102.7
Adamawa,183.3,139.31
Akwa-Ibom,597.73,366
Anambra,137.1,112.8
Bauchi,167.2,128
Bayelsa,242.18,183.15
Benue,189,119
Borno,146.8,108.8
Cross River,1100,147.1
Delta,395.5,282.3
Ebonyi,178.4,131.8
Edo,179.2,128.8
Ekiti,124.5,91.1
Enugu,169.56,146.4
Gombe,130.83,107.4
Imo,197.6,108.3
Jigawa,152.92,124
Kaduna,259.25,223.6
Kano,200,138
Katsina,244,213
Kebbi,138,99.6
Kogi,176,102
Kwara,160,120
Lagos,1680,920.5
Nasarawa,108.4,62.96
Niger,155,98
Ogun,449.9,280
Ondo,187.8,151.4
Osun,119.6,82.2
Oyo,213,174
Plateau,177.3,122
Rivers,530.8,300.4
Sokoto,202.4,153
Taraba,215,150.5
Yobe,108,86
Zamfara,188.5,127.3
FCT,278.78,199