states,region,Population,Overall CCVI Index,Age,Epidemiological,Fragility,Health System,Population Density,Socio-Economic, Transport Availability,Acute IHR
FCT,North Central,4865000,0.3,0,0.9,0.4,0.6,0.9,0.6,0.2,0.79
Plateau,North Central,4766000,0.4,0.5,0.4,0.8,0.3,0.3,0.5,0.3,0.93
Kwara,North Central,3524000,0.3,0.4,0.3,0.2,0.4,0.2,0.6,0.7,0.93
Nassarawa,North Central,2783000,0.1,0.3,0.5,0.9,0,0.1,0.6,0.5,0.85
Niger,North Central,6260000,0.6,0,0.6,0.3,0.7,0.1,0.8,0.8,0.84
Benue,North Central,6376000,0.5,0.7,0.5,0.7,0.4,0.4,0.3,0.5,0.91
Kogi,North Central,4970000,0.1,0.3,0.2,0.5,0.5,0.4,0.3,0.6,0.87
Bauchi,North East,7270000,0.8,0.1,0.2,0.8,0.8,0.2,0.8,0.8,0.85
Gombe,North East,3692000,1,0.4,0.4,0.9,0.9,0.3,0.8,0.7,0.83
Borno,North East,6651000,0.9,0.3,0.1,1,1,0.1,0.7,0.9,0.89
Adamawa,North East,4672000,0.8,0.5,0.6,0.9,0.7,0.3,0.7,0.6,0.94
Yobe,North East,3723000,1,0.6,0.3,1,0.5,0,0.9,1,0.87
Taraba,North East,3387000,0.8,0.6,0.8,0.9,0.5,0,0.7,0.9,0.86
Kano,North West,14726000,0.6,0.2,0.1,0.3,0.4,0.8,0.8,0.5,0.87
Kaduna,North West,9227000,0.7,0.1,0.9,0.8,0.9,0.4,0.6,0.4,0.86
Katsina,North West,8713000,0.7,0.1,0.1,0.3,0.2,0.6,0.9,0.8,0.85
Jigawa,North West,6435000,0.9,0.4,0,0.7,0.6,0.5,0.9,0.8,0.92
Sokoto,North West,5612000,0.9,0.3,0.2,0.4,0.7,0.3,1,1,0.89
Kebbi,North West,4968000,0.8,0.2,0.3,0.4,0.9,0.1,0.9,0.9,0.85
Zamfara,North West,4974000,0.9,0.2,0.1,0.7,0.8,0.2,1,0.9,0.87
Imo,South East,6018000,0.4,1,0.9,0,0.4,0.9,0.4,0,1.12
Abia,South East,4190000,0.2,0.9,0.6,0.1,0.3,0.9,0.2,0,1.14
Enugu,South East,4801000,0.2,0.9,0.4,0,0.3,0.7,0.4,0.1,1.14
Akwa Ibom,South East,6093000,0.7,0.8,0.7,0.6,0.8,0.8,0.5,0.1,1.01
Anambra,South East,6050000,0.6,0.9,1,0.6,0.2,1,0,0.1,1.08
Edo,South South,4705000,0.1,0.9,0.8,0.1,0.1,0.5,0.4,0.3,1.09
Rivers,South South,7763000,0.4,0.5,0.9,0.6,0.6,0.9,0.1,0.1,1
Delta,South South,6303000,0.4,0.6,0.7,0.2,1,0.6,0.5,0.4,1.08
Ebonyi,South South,3192000,0.6,1,0,0.6,0.1,0.7,0.3,0.6,1
Bayelsa,South South,2606000,0.5,0.8,0.6,0.1,0.9,0.5,0.2,0.7,1
Cross river,South South,4272000,0.5,0.4,0.7,0.8,0.1,0.4,0.4,0.6,0.98
Lagos,South West,13992000,0,0.1,1,0.3,0.1,1,0.1,0.4,0.93
Oyo,South West,8737000,0.2,0.7,0.8,0.2,0.8,0.6,0.2,0.3,1.06
Ogun,South West,5878000,0.3,0.6,0.7,0.5,0.6,0.6,0,0.2,1.07
Ondo,South West,5185000,0.1,0.8,0.5,0.1,0.3,0.6,0.3,0.3,1.04
Osun,South West,5252000,0,0.7,0.4,0.4,0,0.8,0.1,0.2,1.06
Ekiti,South West,3593000,0.3,0.8,0.3,0.5,0.2,0.8,0.1,0.4,1.03